id,Item_Identifier_x,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,name,phoneNumber,address
1,FDT36,12.3,Low Fat,0.111448,Baking Goods,33.4874,OUT049,1999,Medium,Tier 1,Supermarket Type1,436.609,Tyler Rogers,615-594-0781,"Unit 6184 Box 9593
DPO AP 09617"
2,FDT36,12.3,Low Fat,0.111904,Baking Goods,33.9874,OUT017,2007,Medium,Tier 2,Supermarket Type1,443.128,Darren Roberts,316-475-2553,"283 Steven Groves
Lake Mark, WI 07832"
3,FDT36,12.3,LF,0.111728,Baking Goods,33.9874,OUT018,2009,Medium,Tier 3,Supermarket Type2,564.598,Andrew Stewart,139-537-6724x238,"653 William Course Apt. 122
Carlsonfurt, MS 78605"
4,FDT36,12.3,Low Fat,0.0,Baking Goods,34.3874,OUT019,1985,Small,Tier 1,Grocery Store,1719.37,Kendra Maddox DVM,1845146270,"USNV Stanton
FPO AE 67043"
5,FDP12,9.8,Regular,0.0455229,Baking Goods,35.0874,OUT017,2007,Medium,Tier 2,Supermarket Type1,352.874,Sheila Evans,+1-893-252-8809x5701,"USNV Allen
FPO AE 74865"
6,FDT36,12.3,Low Fat,0.111275,Baking Goods,35.0874,OUT046,1997,Small,Tier 1,Supermarket Type1,458.736,Angelica Tucker,822-782-4896,"Unit 8346 Box 5787
DPO AE 32994"
7,FDQ36,7.855,Regular,0.161413,Baking Goods,35.2848,OUT013,1987,High,Tier 3,Supermarket Type1,299.335,George Chapman,930.103.1051,"738 Jennifer Ports Suite 376
North Collin, NE 46939"
8,FDT36,7.855,Low Fat,0.110736,Baking Goods,35.2874,OUT027,1985,Medium,Tier 3,Supermarket Type3,988.047,John Daniel,+1-106-513-3387x26247,"8108 Tanya Terrace
East Richard, NJ 28517"
9,FDQ36,7.855,Regular,0.161875,Baking Goods,35.6848,OUT045,2002,Small,Tier 2,Supermarket Type1,335.563,Stephanie Martin,6474687234,"805 Brendan Neck
North Susan, CO 24857"
10,FDT36,12.3,Low Fat,0.1115,Baking Goods,35.6874,OUT045,2002,Small,Tier 2,Supermarket Type1,846.898,Barry Hensley,(193)990-9169x9854,"46247 Hickman Cliffs Apt. 799
North Amandahaven, KS 17862"
11,FDP12,9.8,Regular,0.0452582,Baking Goods,35.9874,OUT035,2004,Small,Tier 2,Supermarket Type1,282.299,Shirley Suarez,(427)849-8084x124,"824 Jacobs Stravenue
Jamesview, NY 64533"
12,FDT36,12.3,Low Fat,0.111254,Baking Goods,36.0874,OUT035,2004,Small,Tier 2,Supermarket Type1,483.824,Terry Williams,+1-640-052-4278x6801,"059 Russell Canyon
Michaelton, MH 47399"
13,FDP12,9.8,Regular,0.0453586,Baking Goods,36.1874,OUT045,2002,Small,Tier 2,Supermarket Type1,423.449,David Garcia,001-869-232-2602x56342,"0733 Bailey View
East Andrew, ID 52728"
14,FDQ36,7.855,Regular,0.162206,Baking Goods,36.2848,OUT018,2009,Medium,Tier 3,Supermarket Type2,1155.83,Sean Rasmussen,586-850-1429x401,"569 Paul Ports Apt. 406
New Saraside, TX 94798"
15,FDP12,9.8,Regular,0.0454512,Baking Goods,36.2874,OUT018,2009,Medium,Tier 3,Supermarket Type2,384.066,Nancy Gonzalez,(159)514-8465x64823,"299 Sullivan Village Apt. 443
Floydmouth, NH 58406"
16,FDP12,5.765,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.974,Daniel Kennedy,001-214-895-1343x3200,"176 Jennifer Lights Suite 632
Port Michelleville, WI 56225"
17,FDW23,5.765,Low Fat,0.081944,Baking Goods,36.7164,OUT013,1987,High,Tier 3,Supermarket Type1,849.561,Robert Dominguez,083.172.7889x579,"727 Green Gateway Suite 873
Scottport, IA 36115"
18,FDP12,9.8,Regular,0.0453372,Baking Goods,36.8874,OUT049,1999,Medium,Tier 1,Supermarket Type1,564.598,Steven Miller,(362)316-6587,"6909 Woods Knoll
Karenchester, ND 98479"
19,FDP12,9.8,Regular,0.0452668,Baking Goods,36.9874,OUT046,1997,Small,Tier 1,Supermarket Type1,705.748,Rebecca Hurst,346.706.5627x2980,"PSC 9901, Box 6272
APO AE 34600"
20,FDW23,5.765,Low Fat,0.0821786,Baking Goods,37.0164,OUT045,2002,Small,Tier 2,Supermarket Type1,540.63,Daniel Murphy,001-646-417-0805x31003,"232 Caldwell Port
South Holly, WI 48852"
21,FDQ36,7.855,Regular,0.161517,Baking Goods,37.0848,OUT035,2004,Small,Tier 2,Supermarket Type1,447.418,Lawrence Adkins,241-904-9663,"49190 Patel Shore
Caseymouth, AL 55558"
22,FDP12,9.8,Regular,0.0452291,Baking Goods,37.1874,OUT013,1987,High,Tier 3,Supermarket Type1,386.303,Ashley Yu,+1-726-284-9877x6945,"7379 Rogers Park
Hunterborough, MI 34363"
23,FDW23,5.765,Low Fat,0.0821398,Baking Goods,37.2164,OUT049,1999,Medium,Tier 1,Supermarket Type1,579.246,Spencer Haynes,808-313-6783x777,"3634 Kennedy Pines
Ronaldside, MA 46613"
24,FDQ36,7.855,Regular,0.161799,Baking Goods,37.2848,OUT049,1999,Medium,Tier 1,Supermarket Type1,745.696,Denise King,351-823-3749,"Unit 8941 Box 3435
DPO AE 40119"
25,FDT36,12.3,Low Fat,0.186251,Baking Goods,37.2874,OUT010,1998,Medium,Tier 3,Grocery Store,176.437,Joseph Hill,8427109477,"47116 Jones Roads
East Edwardshire, ME 11665"
26,FDT36,12.3,Low Fat,0.0,Baking Goods,37.2874,OUT013,1987,High,Tier 3,Supermarket Type1,705.748,Bailey Duran DDS,+1-386-774-9649x909,"USS Meza
FPO AE 82488"
27,FDW23,12.3,Low Fat,0.143593,Baking Goods,37.3164,OUT019,1985,Small,Tier 1,Grocery Store,38.6164,Matthew Moore,(812)067-9740,"713 French Road Apt. 618
Lake Edward, KY 19144"
28,FDW23,5.765,Low Fat,0.0820123,Baking Goods,37.5164,OUT046,1997,Small,Tier 1,Supermarket Type1,656.479,Christopher Parker,001-947-174-6488x7719,"594 Christopher Spring Apt. 490
South April, NV 36959"
29,FDQ36,7.855,Regular,0.0,Baking Goods,38.1848,OUT019,1985,Small,Tier 1,Grocery Store,37.2848,Kevin Walters,175.655.1256x7468,"4516 Diane Plains
Gutierrezborough, NC 47920"
30,FDQ36,7.855,Regular,0.0,Baking Goods,38.3848,OUT046,1997,Small,Tier 1,Supermarket Type1,932.12,Kathleen Ramos,3482477109,"8086 Jeffrey Ville
South Staceyberg, NM 94427"
31,FDW23,5.765,Low Fat,0.0816151,Baking Goods,38.6164,OUT027,1985,Medium,Tier 3,Supermarket Type3,473.152,Michael Perry,737.826.3982x1465,"USNV Hoover
FPO AA 95665"
32,FDW23,5.765,Low Fat,0.0824762,Baking Goods,38.8164,OUT017,2007,Medium,Tier 2,Supermarket Type1,239.441,Kevin Duarte,278.755.8867x5339,"57662 Hanna Crossroad Suite 171
Smithberg, MT 86324"
33,FDW23,5.765,Low Fat,0.0823464,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,237.203,Angela Harrington,596-158-6578x091,"16117 Heather Burgs Apt. 504
Nicholasberg, IA 70122"
34,FDQ36,5.765,Regular,0.160765,Baking Goods,39.0848,OUT027,1985,Medium,Tier 3,Supermarket Type3,243.117,Michael White,(196)937-9237,"0748 Charles Key Suite 647
Jamesfurt, PR 63836"
35,FDQ36,7.855,Regular,0.162461,Baking Goods,39.2848,OUT017,2007,Medium,Tier 2,Supermarket Type1,857.55,James Howard,406-409-0974x3953,"210 Kramer Bypass Suite 214
Julieburgh, ID 17823"
36,FDM60,10.8,Regular,0.0,Baking Goods,39.3138,OUT013,1987,High,Tier 3,Supermarket Type1,1015.34,Sherri Diaz,424.745.1712x36851,"8175 Richards View
Danielbury, NJ 03781"
37,FDM60,10.8,Regular,0.080582,Baking Goods,39.4138,OUT010,1998,Medium,Tier 3,Grocery Store,451.209,Terri Murphy,+1-317-461-2004x711,"7586 Nicole Shoal
Port Tracychester, KY 04789"
38,FDM60,10.8,Regular,0.0479102,Baking Goods,39.8138,OUT027,1985,Medium,Tier 3,Supermarket Type3,831.01,Claudia Wallace,515.850.6431,"USCGC Davis
FPO AE 84610"
39,FDR36,6.715,Regular,0.121586,Baking Goods,40.0454,OUT046,1997,Small,Tier 1,Supermarket Type1,285.039,Tricia Williams,329-318-3933x52904,"84210 Alexis Turnpike
New Mario, HI 35283"
40,FDW23,5.765,Low Fat,0.0819968,Baking Goods,40.1164,OUT035,2004,Small,Tier 2,Supermarket Type1,540.63,Patrick Fox,001-177-589-1783x9084,"76617 Jones Common
Charleneland, DC 36547"
41,FDM60,10.8,Regular,0.0481433,Baking Goods,40.2138,OUT046,1997,Small,Tier 1,Supermarket Type1,690.435,Lauren Joseph,(984)789-6118x3673,"6156 Ortega Landing Apt. 711
North Ryanstad, AS 17555"
42,FDR36,6.715,Regular,0.121485,Baking Goods,40.2454,OUT013,1987,High,Tier 3,Supermarket Type1,587.236,Laurie Hoffman,165-604-9451x98327,"8514 Lindsay Vista
New Sarahview, AK 24148"
43,FDM60,10.8,Regular,0.0481342,Baking Goods,40.3138,OUT035,2004,Small,Tier 2,Supermarket Type1,461.512,Phillip Dorsey,(022)961-2018x366,"4599 Nicole Drives
Port Christine, TX 11194"
44,FDR36,6.715,reg,0.122274,Baking Goods,40.3454,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,Matthew Tucker,643.815.6149x784,"003 Dougherty Trafficway Apt. 445
North Tylerchester, HI 17433"
45,FDM60,10.8,Regular,0.0842927,Baking Goods,40.6138,OUT019,1985,Small,Tier 1,Grocery Store,481.819,Michael Mason,+1-516-060-7159x69664,"2975 Samuel Coves
South Brianna, NC 10809"
46,FDM60,10.8,Regular,0.0,Baking Goods,40.7138,OUT017,2007,Medium,Tier 2,Supermarket Type1,406.138,Eric Morgan,218-188-3552x31243,"127 Webster Trace
Maldonadoshire, SD 83770"
47,FDM60,10.8,Regular,0.0482409,Baking Goods,41.0138,OUT045,2002,Small,Tier 2,Supermarket Type1,469.526,Mrs. Tricia Stewart,177.449.0581x477,"1199 Ford Plaza Apt. 793
Cassidyhaven, FL 08610"
48,FDR36,6.715,Regular,0.203511,Baking Goods,41.0454,OUT010,1998,Medium,Tier 3,Grocery Store,251.672,Robert Monroe,001-182-037-7889x255,"PSC 6659, Box 0515
APO AE 73634"
49,FDM60,10.8,Regular,0.0483394,Baking Goods,41.5138,OUT018,2009,Medium,Tier 3,Supermarket Type2,446.752,Diane Cummings,+1-925-192-5462x91486,"81685 Michael Falls Apt. 573
East Eric, LA 13757"
50,FDM60,10.8,Regular,0.0482181,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.435,Kimberly Rodgers,059.296.2229x27065,"9473 Kyle Valleys
Mckeeborough, MN 89408"
51,FDR36,6.715,Regular,0.121775,Baking Goods,43.0454,OUT049,1999,Medium,Tier 1,Supermarket Type1,303.502,Victoria Murray,688-623-9240x7581,"1247 Mariah Course
Port Shannon, MI 03996"
52,FDO60,20.0,Low Fat,0.0575275,Baking Goods,43.1086,OUT010,1998,Medium,Tier 3,Grocery Store,89.2172,James Brooks,(153)051-5220x4727,"04328 Rodriguez Heights
West David, IA 55528"
53,FDO60,20.0,Low Fat,0.0342031,Baking Goods,43.3086,OUT027,1985,Medium,Tier 3,Supermarket Type3,624.52,Lisa Brown,980.893.2460x9539,"518 Peter Mountains
Lake Paulstad, KS 98453"
54,FDO60,20.0,Low Fat,0.0,Baking Goods,43.4086,OUT018,2009,Medium,Tier 3,Supermarket Type2,401.477,Richard Cooper,001-195-205-8527x7221,"43030 Mahoney Passage Suite 874
Port Deborahport, MI 06766"
55,FDO60,20.0,Low Fat,0.034363,Baking Goods,43.5086,OUT035,2004,Small,Tier 2,Supermarket Type1,401.477,Evelyn Martinez,(667)652-7758x416,"451 Mark Hill
Seanchester, GA 90909"
56,FDR36,6.715,Regular,0.121833,Baking Goods,43.5454,OUT045,2002,Small,Tier 2,Supermarket Type1,838.908,Jeremy Acosta,(964)016-5820x297,"55690 Erika Land
Scottland, OK 18548"
57,FDR36,6.715,Regular,0.120998,Baking Goods,43.6454,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.713,Jennifer Banks,102.786.8144,"473 Derek Cliffs
Thompsonmouth, CO 89882"
58,FDK24,9.195,Low Fat,0.0,Baking Goods,43.6744,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.47,Victoria Contreras,001-188-442-2583x132,"58957 Cheryl Corners Apt. 467
Hammondshire, CA 16927"
59,FDO60,20.0,Low Fat,0.0343695,Baking Goods,43.7086,OUT046,1997,Small,Tier 1,Supermarket Type1,892.172,Maria Cole,+1-852-892-2680x18242,"8414 Cynthia Plaza
Davidport, RI 70425"
60,FDR36,6.715,Regular,0.121563,Baking Goods,43.7454,OUT035,2004,Small,Tier 2,Supermarket Type1,545.29,Martin Vargas,001-229-959-0010,"USNV Curtis
FPO AP 55103"
61,FDR36,6.715,Regular,0.122082,Baking Goods,43.8454,OUT018,2009,Medium,Tier 3,Supermarket Type2,320.92,Amanda Small,+1-447-364-7102,"3592 Hensley Island Suite 625
West Johnville, KY 59430"
62,FDO60,20.0,Low Fat,0.034423,Baking Goods,44.4086,OUT049,1999,Medium,Tier 1,Supermarket Type1,976.989,Brent Roberts,(963)259-5327x8774,"8733 Williams Haven
Harperfort, LA 70846"
63,FDK24,9.195,Low Fat,0.101211,Baking Goods,44.4744,OUT013,1987,High,Tier 3,Supermarket Type1,433.479,Brian Anderson,565-060-9835x841,"499 David Court Suite 558
Kariborough, PA 67232"
64,FDO60,20.0,Low Fat,0.0344392,Baking Goods,45.1086,OUT045,2002,Small,Tier 2,Supermarket Type1,965.324,Andrew Williams,001-578-729-8259x526,"Unit 4958 Box 8879
DPO AA 62746"
65,FDK24,9.195,Low Fat,0.1015,Baking Goods,45.2744,OUT045,2002,Small,Tier 2,Supermarket Type1,679.116,Isabella Nunez,(940)974-9930x97289,"30913 Scott Manor Apt. 636
Salaston, VT 18599"
66,FDO60,20.0,LF,0.0345639,Baking Goods,45.3086,OUT017,2007,Medium,Tier 2,Supermarket Type1,490.695,Kristina Bolton,865.278.5854x9733,"44375 Bailey Underpass Suite 419
Huangfurt, GU 45738"
67,FDO60,20.0,Low Fat,0.0343409,Baking Goods,45.4086,OUT013,1987,High,Tier 3,Supermarket Type1,981.389,Regina Roberts,157-473-3848x4219,"08330 Robert Stravenue
Garciaberg, AL 72636"
68,FDK24,20.0,Low Fat,0.100804,Baking Goods,45.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,1041.31,Brooke Delgado,734.540.1938x0262,"USS Osborn
FPO AA 65431"
69,FDK24,9.195,Low Fat,0.0,Baking Goods,45.6744,OUT049,1999,Medium,Tier 1,Supermarket Type1,445.175,Paul Brennan,004-991-5478x8728,"52742 Jill Turnpike
Ashleyborough, HI 80580"
70,FDK24,9.195,Low Fat,0.101295,Baking Goods,46.2744,OUT046,1997,Small,Tier 1,Supermarket Type1,1086.59,Stephanie Wilcox,516.122.7530x46374,"USNV Aguilar
FPO AP 01999"
71,FDK24,9.195,Low Fat,0.101868,Baking Goods,46.4744,OUT017,2007,Medium,Tier 2,Supermarket Type1,461.519,Ian Young,+1-174-268-4145x93327,"8783 Erin Ranch Apt. 878
Christianshire, DE 08595"
72,FDK24,9.195,Low Fat,0.101276,Baking Goods,46.4744,OUT035,2004,Small,Tier 2,Supermarket Type1,950.762,Stephanie Harris,+1-225-871-3971,"PSC 7072, Box 8679
APO AE 73743"
73,FDK24,20.0,Low Fat,0.177354,Baking Goods,46.6744,OUT019,1985,Small,Tier 1,Grocery Store,135.823,Robert Cummings,(403)910-6518x0170,"65676 Miller Shore
Lake Michelle, DE 23893"
74,FDL48,20.0,Regular,0.081868,Baking Goods,46.8034,OUT027,1985,Medium,Tier 3,Supermarket Type3,1069.27,Jenna Anderson DVM,0478686337,"10690 Jamie Courts Apt. 790
Lake Bradley, NV 31216"
75,FDL48,19.35,Regular,0.137697,Baking Goods,47.1034,OUT010,1998,Medium,Tier 3,Grocery Store,145.81,Nicole Parsons,(843)959-9534,"4408 Connie Meadow
Williamsstad, SD 88495"
76,FDK36,20.0,Low Fat,0.00718037,Baking Goods,47.4034,OUT027,1985,Medium,Tier 3,Supermarket Type3,631.844,Joseph Horton,(246)287-3342x70866,"3435 Sandra Vista
Christopherborough, AR 35688"
77,FDW24,6.8,Low Fat,0.0374658,Baking Goods,47.5034,OUT013,1987,High,Tier 3,Supermarket Type1,534.637,Larry Williams,398-373-5403,"USS Burgess
FPO AA 32298"
78,FDK36,7.09,Low Fat,0.00721531,Baking Goods,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1458.1,Michele Sanders,854.678.5445,"1753 Edwards Cape Apt. 204
Phillipsborough, MA 30650"
79,FDK36,7.09,Low Fat,0.00721395,Baking Goods,47.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,583.241,Roy Porter,+1-547-772-5228x7280,"006 Megan Fort
Lake Edwardborough, NY 60271"
80,FDK36,7.09,LF,0.00720931,Baking Goods,48.1034,OUT013,1987,High,Tier 3,Supermarket Type1,1069.27,Luke Estrada,+1-770-088-6008x484,"11823 Christine Glen Suite 461
Susanmouth, OK 32378"
81,FDK36,7.09,Low Fat,0.00722995,Baking Goods,48.3034,OUT045,2002,Small,Tier 2,Supermarket Type1,359.595,Courtney Sutton DVM,+1-016-668-7002x1765,"033 Nelson Club
Rachelshire, TN 04813"
82,FDL48,19.35,Regular,0.0823943,Baking Goods,48.5034,OUT049,1999,Medium,Tier 1,Supermarket Type1,243.017,Samuel Smith,926.142.9396,"2185 Connor Fort Apt. 599
Novakmouth, AK 83616"
83,FDP36,10.395,Regular,0.0911724,Baking Goods,48.6008,OUT046,1997,Small,Tier 1,Supermarket Type1,545.622,Willie Henry,(866)296-1943x114,"655 Christopher Inlet
Wardview, CT 17868"
84,FDW24,6.8,Low Fat,0.03749,Baking Goods,48.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,291.62,Jeffrey Hawkins,610.158.1995x60466,"826 Dominic Hollow
Trevorland, GA 57474"
85,FDK36,7.09,Low Fat,0.012077,Baking Goods,48.6034,OUT010,1998,Medium,Tier 3,Grocery Store,375.612,Elijah Patton,(437)993-7124x065,"7569 Kevin Rapids Apt. 752
Novakport, WA 91590"
86,FDL48,19.35,Regular,0.0822509,Baking Goods,48.7034,OUT035,2004,Small,Tier 2,Supermarket Type1,534.637,Tracy Casey,646-519-3982x80737,"7243 Hopkins Stravenue
Mccormickland, NV 78873"
87,FDL48,19.35,Regular,0.0822664,Baking Goods,48.8034,OUT046,1997,Small,Tier 1,Supermarket Type1,340.224,James Hunter,001-680-589-1135x290,"6101 Walker Summit Apt. 756
Bartonshire, UT 66098"
88,FDW24,10.395,Low Fat,0.0656525,Baking Goods,48.9034,OUT019,1985,Small,Tier 1,Grocery Store,48.6034,Zachary Webb,611-254-5738x7571,"1401 Melinda Rue Apt. 238
New Ethan, OH 56386"
89,FDP36,10.395,Regular,0.0916881,Baking Goods,49.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,860.214,Crystal Sullivan,(266)093-7966,"41918 Michael Flat
Wilsonfort, NC 84270"
90,FDK36,7.09,Low Fat,0.0,Baking Goods,49.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,365.55,James Long,557-924-9912,"1252 Barnes Dam
Hendersonfort, SC 70936"
91,FDY12,9.8,Regular,0.0,Baking Goods,49.2008,OUT013,1987,High,Tier 3,Supermarket Type1,657.81,Maria Cooke,+1-274-225-7905,"USCGC Taylor
FPO AA 74108"
92,FDL48,19.35,Regular,0.082198,Baking Goods,49.2034,OUT013,1987,High,Tier 3,Supermarket Type1,729.051,Kathleen Cohen,(772)190-3404x38427,"819 Joseph Plains Suite 807
South Curtis, MP 86179"
93,FDL48,19.35,reg,0.0827318,Baking Goods,49.2034,OUT017,2007,Medium,Tier 2,Supermarket Type1,777.654,Elizabeth Kidd,451.713.3959x629,"09584 Mario Squares
Keithview, PR 67926"
94,FDK36,7.09,Low Fat,0.00722653,Baking Goods,49.3034,OUT049,1999,Medium,Tier 1,Supermarket Type1,381.022,Miss Anna Estes,(042)232-5367x29466,"8457 Murphy Alley
Lake Teresastad, PR 08801"
95,FDW24,6.8,Low Fat,0.0376498,Baking Goods,49.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.919,Jennifer Donaldson,745.458.9297,"17012 Bryant Meadow
Lake Regina, FM 85697"
96,FDP36,10.395,Regular,0.0,Baking Goods,49.6008,OUT049,1999,Medium,Tier 1,Supermarket Type1,546.536,Shannon Mcdowell,541-520-6436,"37129 April Mills
North Heatherville, VI 55854"
97,FDW24,6.8,Low Fat,0.0375553,Baking Goods,49.6034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068,Karen Perez,115-542-6221,"275 Courtney Drive
Jensenmouth, VI 28975"
98,FDI48,11.85,Regular,0.0557184,Baking Goods,49.6666,OUT046,1997,Small,Tier 1,Supermarket Type1,635.633,Brian Goodwin,001-656-523-4138,"043 Julie Hill Apt. 376
East Victorland, NC 02082"
99,FDW24,6.8,Low Fat,0.0377091,Baking Goods,49.7034,OUT017,2007,Medium,Tier 2,Supermarket Type1,365.022,Dr. Bonnie Valencia,001-658-271-0910,"68486 Miles Corner
West Christopher, CO 67518"
100,FDL48,19.35,Regular,0.0824333,Baking Goods,49.7034,OUT045,2002,Small,Tier 2,Supermarket Type1,1057.94,Valerie Moore,691-463-0316x17990,"02027 Mills Tunnel
Garyberg, WA 35728"
101,FDY12,9.8,Regular,0.140611,Baking Goods,49.8008,OUT046,1997,Small,Tier 1,Supermarket Type1,809.613,Bailey Yoder,648-149-1778x50792,"91380 Michele Bridge Apt. 075
Moraburgh, PR 05136"
102,FDW24,6.8,Low Fat,0.0374971,Baking Goods,49.9034,OUT046,1997,Small,Tier 1,Supermarket Type1,194.414,Suzanne Yang,(353)654-1951x80238,"Unit 6174 Box 4518
DPO AA 01545"
103,FDY12,9.8,Regular,0.141406,Baking Goods,50.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.008,Eddie Mueller,001-937-597-3832x0603,"0641 Alyssa Freeway
Vasquezton, FL 93778"
104,FDW24,10.395,low fat,0.0373155,Baking Goods,50.0034,OUT027,1985,Medium,Tier 3,Supermarket Type3,1992.74,Andrew Hall,657.191.8261x99062,"6557 Hall Flats Apt. 912
East Shannonmouth, MT 16326"
105,FDP36,10.395,Regular,0.0913573,Baking Goods,50.1008,OUT045,2002,Small,Tier 2,Supermarket Type1,546.838,Traci Clark,741-124-9035x2135,"442 Stephanie Walk
Hawkinsside, IA 12916"
106,FDL48,19.35,Regular,0.0826015,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,1047.06,Robert Taylor,0323651994,"PSC 1013, Box 7215
APO AE 06097"
107,FDY12,9.8,Regular,0.140896,Baking Goods,50.2008,OUT045,2002,Small,Tier 2,Supermarket Type1,541.165,Amber Glass,(670)662-5324x47209,"476 Brown Harbors
Taylorborough, SD 69420"
108,FDW24,6.8,Low Fat,0.0375731,Baking Goods,50.2034,OUT045,2002,Small,Tier 2,Supermarket Type1,1166.48,Zachary Stephens,6578759856,"9304 Lindsey Mountains
Katiebury, GA 13625"
109,FDW24,6.8,Low Fat,0.0627624,Baking Goods,50.4034,OUT010,1998,Medium,Tier 3,Grocery Store,48.6034,David Ferguson,001-039-652-2395x5905,"USNS Hart
FPO AE 65018"
110,FDK36,7.09,Low Fat,0.00725613,Baking Goods,50.4034,OUT017,2007,Medium,Tier 2,Supermarket Type1,340.224,Casey Johnson,3930870593,"250 Dylan Squares Apt. 185
West Janetfurt, OR 13743"
111,FDY12,9.8,Regular,0.141184,Baking Goods,50.5008,OUT018,2009,Medium,Tier 3,Supermarket Type2,253.004,Frank Daugherty,001-675-289-5392x6442,"969 Ian Island
Lake Ariana, NM 18935"
112,FDY12,10.395,reg,0.13993,Baking Goods,50.5008,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.9,Blake Reed,215-704-3315x41006,"67658 Garcia Neck Apt. 271
West Andrewview, CT 10226"
113,FDI48,11.85,Regular,0.055672,Baking Goods,50.5666,OUT013,1987,High,Tier 3,Supermarket Type1,922.799,Stephen Martin,815-997-0629,"15336 Guerrero Hills
North Brandon, OK 72546"
114,FDI48,11.85,Regular,0.0558314,Baking Goods,50.5666,OUT045,2002,Small,Tier 2,Supermarket Type1,635.167,Brittany Ward,(149)731-0324x17146,"86256 Lopez Cape Suite 774
Port Joseph, AR 20309"
115,FDY12,9.8,Regular,0.235354,Baking Goods,50.8008,OUT010,1998,Medium,Tier 3,Grocery Store,101.202,Mary Miller,(869)380-6868x793,"0898 David Throughway
Thompsonburgh, IL 25761"
116,FDI48,11.85,Regular,0.0,Baking Goods,51.2666,OUT035,2004,Small,Tier 2,Supermarket Type1,410.133,Jay Mcneil,(329)451-1686x85487,"PSC 0998, Box 6162
APO AE 74765"
